date, venue, home, away, hscore, ascore, hpens, apens, winner
24 Jun 2010,Rustenburg ,Denmark,Japan,1,3,NA,NA,Japan
24 Jun 2010,Cape Town ,Cameroon,Netherlands,1,2,NA,NA,Netherlands
14 Jun 2010,Cape Town ,Italy,Paraguay,1,1,NA,NA,D
15 Jun 2010,Rustenburg ,New Zealand,Slovakia,1,1,NA,NA,D
20 Jun 2010,Mangaung/Bloemfontein ,Slovakia,Paraguay,0,2,NA,NA,Paraguay
20 Jun 2010,Nelspruit ,Italy,New Zealand,1,1,NA,NA,D
24 Jun 2010,Johannesburg ,Slovakia,Italy,3,2,NA,NA,Slovakia
24 Jun 2010,Polokwane ,Paraguay,New Zealand,0,0,NA,NA,D
15 Jun 2010,Nelson Mandela Bay/Port Elizabeth ,Cte d'Ivoire,Portugal,0,0,NA,NA,D
15 Jun 2010,Johannesburg ,Brazil,Korea DPR,2,1,NA,NA,Brazil
20 Jun 2010,Johannesburg ,Brazil,Cte d'Ivoire,3,1,NA,NA,Brazil
21 Jun 2010,Cape Town ,Portugal,Korea DPR,7,0,NA,NA,Portugal
25 Jun 2010,Durban ,Portugal,Brazil,0,0,NA,NA,D
25 Jun 2010,Nelspruit ,Korea DPR,Cte d'Ivoire,0,3,NA,NA,Cte d'Ivoire
16 Jun 2010,Nelspruit ,Honduras,Chile,0,1,NA,NA,Chile
16 Jun 2010,Durban ,Spain,Switzerland,0,1,NA,NA,Switzerland
21 Jun 2010,Nelson Mandela Bay/Port Elizabeth ,Chile,Switzerland,1,0,NA,NA,Chile
21 Jun 2010,Johannesburg ,Spain,Honduras,2,0,NA,NA,Spain
25 Jun 2010,Tshwane/Pretoria ,Chile,Spain,1,2,NA,NA,Spain
25 Jun 2010,Mangaung/Bloemfontein ,Switzerland,Honduras,0,0,NA,NA,D
26 Jun 2010,Nelson Mandela Bay/Port Elizabeth ,Uruguay,Korea Republic,2,1,NA,NA,Uruguay
26 Jun 2010,Rustenburg ,USA,Ghana,1,2,NA,NA,Ghana
27 Jun 2010,Mangaung/Bloemfontein ,Germany,England,4,1,NA,NA,Germany
27 Jun 2010,Johannesburg ,Argentina,Mexico,3,1,NA,NA,Argentina
28 Jun 2010,Durban ,Netherlands,Slovakia,2,1,NA,NA,Netherlands
28 Jun 2010,Johannesburg ,Brazil,Chile,3,0,NA,NA,Brazil
29 Jun 2010,Tshwane/Pretoria ,Paraguay,Japan,0,0,5,3,Paraguay
29 Jun 2010,Cape Town ,Spain,Portugal,1,0,NA,NA,Spain
02 Jul 2010,Nelson Mandela Bay/Port Elizabeth ,Netherlands,Brazil,2,1,NA,NA,Netherlands
02 Jul 2010,Johannesburg ,Uruguay,Ghana,1,1,4,2,Uruguay
03 Jul 2010,Cape Town ,Argentina,Germany,0,4,NA,NA,Germany
03 Jul 2010,Johannesburg ,Paraguay,Spain,0,1,NA,NA,Spain
06 Jul 2010,Cape Town ,Uruguay,Netherlands,2,3,NA,NA,Netherlands
07 Jul 2010,Durban ,Germany,Spain,0,1,NA,NA,Spain
10 Jul 2010,Nelson Mandela Bay/Port Elizabeth ,Uruguay,Germany,2,3,NA,NA,Germany
11 Jul 2010,Johannesburg ,Netherlands,Spain,0,1,NA,NA,Spain
